"시점","항목",합계,종로구,사직동,삼청동,부암동,평창동,무악동,교남동,가회동,종로1.2.3.4가동,종로5.6가동,이화동,창신1동,창신2동,창신3동,숭인1동,숭인2동,청운효자동,혜화동,중구,소공동,회현동,명동,필동,장충동,광희동,을지로동,신당1동,신당2동,신당3동,신당4동,신당5동,신당6동,황학동,중림동,신당동,다산동,약수동,청구동,동화동,용산구,후암동,용산2가동,남영동,원효로2동,효창동,용문동,이촌1동,이촌2동,이태원1동,이태원2동,서빙고동,보광동,청파동,원효로1동,한강로동,한남동,성동구,왕십리2동,마장동,사근동,행당1동,행당2동,응봉동,금호1가동,금호4가동,성수1가1동,성수1가2동,성수2가1동,성수2가3동,송정동,용답동,왕십리도선동,금호2.3가동,옥수동,광진구,화양동,군자동,중곡1동,중곡2동,중곡3동,중곡4동,능동,구의1동,구의2동,구의3동,광장동,자양1동,자양2동,자양3동,자양4동,동대문구,회기동,휘경1동,휘경2동,청량리동,용신동,제기동,전농1동,전농2동,답십리2동,장안1동,장안2동,이문1동,이문2동,답십리1동,중랑구,면목2동,면목4동,면목5동,면목7동,상봉1동,상봉2동,중화1동,중화2동,묵1동,묵2동,망우3동,신내1동,신내2동,면목본동,면목3.8동,망우본동,성북구,돈암1동,돈암2동,안암동,보문동,정릉1동,정릉2동,정릉3동,정릉4동,길음1동,길음2동,월곡1동,월곡2동,장위1동,장위2동,장위3동,성북동,삼선동,동선동,종암동,석관동,강북구,번1동,번2동,번3동,수유1동,수유2동,수유3동,삼양동,미아동,송중동,송천동,삼각산동,우이동,인수동,도봉구,쌍문1동,쌍문2동,쌍문3동,쌍문4동,방학1동,방학2동,방학3동,창1동,창2동,창3동,창4동,창5동,도봉1동,도봉2동,노원구,월계1동,월계2동,월계3동,공릉2동,하계1동,하계2동,중계본동,중계1동,중계4동,상계1동,상계2동,상계5동,상계8동,상계9동,상계10동,상계3.4동,상계6.7동,중계2.3동,공릉1동,은평구,녹번동,불광1동,갈현1동,갈현2동,구산동,대조동,응암1동,응암2동,신사1동,신사2동,증산동,수색동,진관동,불광2동,응암3동,역촌동,서대문구,천연동,홍제1동,홍제3동,홍제2동,홍은1동,홍은2동,남가좌1동,남가좌2동,북가좌1동,북가좌2동,충현동,북아현동,신촌동,연희동,마포구,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동,양천구,목1동,목2동,목3동,목4동,신월1동,신월2동,신월3동,신월4동,신월5동,신월6동,신월7동,신정1동,신정2동,신정3동,신정6동,신정7동,목5동,신정4동,강서구,염창동,등촌1동,등촌2동,등촌3동,화곡본동,화곡2동,화곡3동,화곡4동,화곡6동,화곡8동,가양1동,가양2동,가양3동,발산1동,공항동,방화1동,방화2동,방화3동,화곡1동,우장산동,구로구,신도림동,구로1동,구로3동,구로4동,구로5동,고척1동,고척2동,개봉2동,개봉3동,오류1동,수궁동,가리봉동,구로2동,개봉1동,오류2동,금천구,가산동,독산1동,독산2동,독산3동,독산4동,시흥1동,시흥2동,시흥3동,시흥4동,시흥5동,영등포구,여의동,당산1동,당산2동,양평1동,양평2동,신길1동,신길3동,신길4동,신길5동,신길6동,신길7동,대림1동,대림2동,대림3동,영등포본동,영등포동,도림동,문래동,동작구,노량진2동,상도1동,상도2동,상도3동,상도4동,사당1동,사당3동,사당4동,사당5동,대방동,신대방1동,신대방2동,흑석동,노량진1동,사당2동,관악구,보라매동,청림동,행운동,낙성대동,중앙동,인헌동,남현동,서원동,신원동,서림동,신사동,신림동,난향동,조원동,대학동,은천동,성현동,청룡동,난곡동,삼성동,미성동,서초구,서초1동,서초2동,서초3동,서초4동,잠원동,반포본동,반포1동,반포2동,반포3동,반포4동,방배본동,방배1동,방배2동,방배3동,방배4동,양재1동,양재2동,내곡동,강남구,신사동,논현1동,논현2동,삼성1동,삼성2동,대치1동,대치4동,역삼1동,역삼2동,도곡1동,도곡2동,개포1동,개포4동,일원본동,일원1동,일원2동,수서동,세곡동,압구정동,청담동,대치2동,개포2동,송파구,풍납1동,풍납2동,거여1동,거여2동,마천1동,마천2동,방이1동,방이2동,오륜동,오금동,송파1동,송파2동,석촌동,삼전동,가락본동,가락1동,가락2동,문정1동,문정2동,잠실본동,잠실4동,잠실6동,잠실7동,잠실2동,잠실3동,장지동,위례동,강동구,강일동,상일동,명일1동,명일2동,고덕1동,고덕2동,암사2동,암사3동,천호1동,천호3동,성내1동,성내2동,성내3동,둔촌1동,둔촌2동,암사1동,천호2동,길동
"2013","인구밀도 (명/㎢)",17165,7022,8396,2260,5052,2230,23961,15571,9876,3743,10408,12096,23345,45027,36130,32883,28411,5718,17484,13854,1859,7813,4054,4279,4629,8253,3370,-,-,-,-,27400,-,39600,20717,16275,32441,40140,46468,46481,11520,23277,6911,7094,22269,25891,46550,9859,8241,16919,13790,5079,25297,25745,22041,5613,8318,18190,41778,24044,10581,30180,63731,30474,32224,18138,9172,20828,17755,12069,18438,7495,18046,36745,12148,22356,20942,29914,27453,42102,31405,13778,10301,41475,19991,29224,15687,44516,17021,26608,24552,26490,16803,27543,24889,20684,20407,24530,27754,25108,39454,30392,30261,31917,33659,23598,22773,38678,20215,21736,29152,30782,27360,31715,31059,30308,28599,19401,13162,25129,36829,17438,12023,19747,33416,49577,13726,25509,45889,20668,4952,8962,48039,35888,36048,15890,36314,33060,28929,6754,31034,23237,29907,21617,14490,38205,15566,24440,21776,31459,28250,32805,33036,27019,35803,56508,1958,11485,17418,18331,39522,36714,41131,46565,31923,12020,32566,29326,23806,31946,39649,2764,37102,16763,19876,15561,30385,6853,19708,50057,15055,48525,13138,7834,37007,54736,39770,30311,25431,6834,33114,46641,28712,17107,18431,13808,27129,30574,24496,38175,27288,34319,33919,22678,25698,14943,4485,21701,44119,42928,18405,21044,21944,24758,14995,16605,14723,8110,38625,37494,40755,18353,23600,8226,14013,16407,22924,17944,38463,28412,18509,11890,21205,31466,31008,26788,19719,4004,38344,17410,37118,25063,28554,23493,30873,43723,50381,38028,34889,20521,37627,23988,30666,20825,28399,43283,21201,28032,27239,25171,36943,13885,24483,39214,24111,46953,33543,43709,47543,28822,23243,52474,4734,17581,18771,11268,2047,29642,4049,11452,47262,29216,22475,25930,22562,28387,65576,34275,22071,30832,43964,27757,36563,9770,48768,22195,26100,9019,19840,9408,16670,39179,34470,34061,22555,19867,12136,27780,16978,17187,4066,28207,22897,19834,7419,35188,36525,39071,39451,35884,24211,40243,45491,31750,26914,15925,24038,21981,25773,24685,31401,27000,41973,39863,30516,28818,39718,27026,26226,46187,20893,23099,21759,11506,18097,35857,56227,41743,8459,39059,26491,5614,37168,36815,25101,42091,40180,22093,30167,2848,47208,51021,29160,32319,10929,24720,9501,15264,19248,10464,33833,19745,13353,34335,14913,19087,14604,33340,25001,14441,10661,26567,7679,3026,477,14409,10451,20977,15324,8244,26056,26051,30618,15380,30514,22495,34975,18007,15813,8934,20052,15179,11529,3009,11532,13390,21255,13668,19925,25255,17827,23685,16464,40969,25004,33858,32536,6409,23198,35187,43117,37891,37066,26205,1309,37382,40493,8222,33069,20046,6451,17743,17082,25019,15580,-,19846,12324,10362,46582,19496,9924,8856,13947,7655,44155,33494,34159,40151,35955,21630,30192,38230,24224,23718
"2014","인구밀도 (명/㎢)",17134,6914,8237,2193,5003,2209,23458,14300,9656,3796,10115,11938,22894,43504,35178,31948,28794,5631,17528,13677,1995,7744,3651,4421,4470,8055,3200,-,-,-,-,19615,-,39958,19921,22456,31898,39917,45844,45785,11428,22887,6801,7207,22072,25627,46407,9793,8033,16614,13430,5105,24880,25208,22961,5687,8180,18028,41005,23725,11328,26361,62855,30102,30689,17862,8977,20349,17400,12072,18076,7482,22335,36025,12045,22117,20922,29985,26852,41151,30792,13725,10427,41589,19050,29409,15548,42911,16976,26197,24577,26481,16614,27205,24510,20487,20266,24477,26888,24869,37534,30073,30253,30963,33126,30220,22892,38268,19739,21245,28575,31466,27115,31304,30270,29368,27947,18979,16681,24436,36222,17183,11772,19366,33314,49196,13620,27007,45398,20480,4846,8887,48085,30007,35583,15754,34829,32018,26975,6577,30835,22914,29756,21213,14341,37533,15142,23995,21579,31464,27873,31901,32896,26539,35145,56484,1983,11540,17183,18244,39300,36360,40902,45797,31011,11831,32041,29169,23679,31427,39069,2721,36282,16538,19628,15232,29901,6762,19357,49616,14803,47816,13436,7718,36857,54020,39115,29822,25074,6640,32766,45696,28609,16943,17409,13831,26828,31190,24381,38696,27157,32526,33713,22288,25304,14558,4512,21320,43846,42603,18225,20905,21620,24537,14800,16235,14825,7746,37743,37717,40790,17545,22922,8375,13893,16607,24158,19631,37438,27717,18026,11539,20528,31449,30389,26604,19544,3991,37995,18138,36396,33377,28196,23250,30248,43166,49668,37518,37708,20147,37771,23806,29880,20220,27599,42456,20785,27657,26859,24729,36181,14282,24299,39098,23647,45659,32961,43038,46598,28278,23019,52013,5018,17098,18233,13417,1977,40656,3951,11071,46938,33012,22721,25719,22440,28245,65550,34304,22112,30203,43650,27515,37132,9702,49075,22230,27519,9969,19818,9584,16531,39345,34790,33946,22625,19659,11957,27731,16906,17181,4035,28304,22890,19368,7363,34617,35846,38226,38679,35572,24256,39612,46376,31780,26777,16354,26399,21627,25637,24172,31919,26729,42263,40013,30208,28450,39574,26598,25923,46134,20790,22909,21449,11363,17991,35693,56093,42107,8252,39003,26148,5601,37011,36849,25391,42250,38481,21856,30340,2840,47086,50472,29086,32146,10686,24543,9665,15152,18169,10460,32350,19527,13340,34004,14831,18869,14494,33357,24970,14931,10538,26713,8247,3163,1009,14770,10113,20601,15266,8144,25944,25068,30321,15421,31417,22406,34962,17451,15555,9688,19435,14919,11234,5644,11356,13455,21559,13337,19831,24719,17652,23093,16155,39974,24485,33610,32315,6345,22754,34541,42447,37558,36323,25781,923,36955,39970,8254,32941,19771,6397,17457,16880,24945,17759,-,19577,12203,10139,46021,19365,9731,8460,13824,7596,43061,33044,34007,39676,35665,21228,29948,37538,23711,23742
"2015","인구밀도 (명/㎢)",17013,6851,8157,2130,4941,2189,23942,13929,9187,3739,10095,11815,22135,42462,34491,31443,28523,5585,17916,13486,1967,7456,3557,4475,4340,7861,3090,-,-,-,-,26792,-,40264,18706,16440,31380,39588,45750,44935,11337,22888,6687,7263,22125,22309,46525,10141,7920,15842,12970,5122,24351,24578,24288,5663,8081,18093,40341,23642,11664,25642,62200,29858,29957,17585,8867,19647,17017,11894,17740,7417,28900,35878,11939,21987,21051,29853,26655,41109,30200,13811,10647,41982,18618,29477,15446,42370,16593,26023,24166,26301,16479,24605,24304,20016,20627,24449,25830,24691,36880,30414,29623,31186,33171,31645,22633,37753,20314,18136,27591,30965,27396,31299,29684,29071,28019,18601,16660,24155,36213,17138,11670,19104,35147,49421,13550,26818,44027,21063,4798,8912,48162,28103,35495,15796,33574,31269,21792,6481,30365,23252,29792,20650,14172,37347,14997,23529,21427,31019,27852,31668,32542,25466,34606,56100,2000,11376,17056,18218,39433,36056,40581,45829,30582,11708,31683,29087,23613,31081,38721,2698,35869,16317,19720,14798,29511,6642,19119,49173,14501,47273,13357,7640,36475,63827,38845,29442,24636,5692,32317,44876,28328,16920,18071,13665,26693,31572,24877,39208,27338,29826,33977,22193,24664,12964,4654,21252,43260,43020,18351,20736,19868,24215,14710,15723,14758,22143,35778,38162,41225,17300,24248,8572,13725,16706,26355,17506,37221,25936,17045,11826,19957,31058,29472,26590,19452,4033,37747,18383,39001,38005,28098,23674,30771,41604,49200,36694,38397,21220,38296,23899,28880,20100,27113,42217,20539,27474,26471,24610,35838,14376,24206,38519,23593,45022,32950,43077,46188,28515,23016,51530,5318,16775,17875,13657,1940,42225,3933,11032,47585,34610,22596,26009,22437,27891,64167,33974,22109,29893,43456,27743,37286,9675,47335,21662,27505,10050,19675,9570,16273,39407,34800,33569,22526,19401,11859,27532,16660,17033,4054,28577,23236,19698,7409,33706,34533,37674,37987,35151,23769,38665,44475,31178,26371,16247,26573,21561,25240,23652,32044,25649,42483,40201,30224,26995,40208,24067,26014,45395,20958,21393,21424,11251,17891,35495,57093,42178,8092,39382,26017,5678,37089,37071,25725,42150,38643,21571,30581,2863,47050,50432,26143,32094,10588,24659,9601,15060,17312,10406,33018,19327,13185,30849,14727,16344,14507,33064,25054,14695,10167,26986,8309,3118,1478,14728,9825,20246,15702,8006,25277,29472,29630,15511,31577,22248,34615,17087,14856,9826,19160,13404,11001,6808,11358,13360,21283,10898,19704,24392,17144,29859,45474,40095,24363,33234,32310,6309,22601,34235,42028,37345,36098,25591,722,36910,39309,8556,32870,19823,6389,17388,16988,24895,26226,4718,18842,12151,9234,38410,19249,9565,4589,13694,7669,41741,32971,33891,39145,35477,20939,29580,37013,23608,23834
"2016","인구밀도 (명/㎢)",16861,6771,8141,2093,4865,2194,23656,13566,8852,3714,9625,11445,21258,41158,33709,30909,28994,5491,18219,13494,2733,7295,3560,4491,4298,8150,3043,-,-,-,-,26062,-,40052,18546,17144,31286,39158,44803,44777,11209,22451,6503,7363,21848,21741,45936,10187,7689,15449,12795,5181,23927,24080,24944,5677,7785,18218,41261,23178,11461,24929,61305,29686,29172,17330,8703,19128,16422,11788,17654,7353,31775,39122,12741,21807,21116,29795,26358,41595,29933,13701,10589,41763,18625,29205,15319,42019,16388,25463,23476,26050,16562,23752,24254,19633,20798,24196,25437,24178,35636,31050,28845,30813,32887,31451,22474,37567,19961,16913,26847,30767,28015,31301,29161,28763,28929,18930,16610,23748,36474,16849,11470,18781,34708,49335,13692,26909,43802,21033,4752,8888,47985,22712,35123,15549,32247,30646,20348,6409,29902,22973,29880,20273,14015,36971,14726,23119,21350,30647,28053,31313,32316,24025,34700,55568,2010,11293,16948,18190,39081,35524,39929,45465,30258,11533,31528,29418,23236,30598,38374,2710,35210,16119,20939,13873,28991,6561,19299,48584,14226,46608,13139,7545,36346,63050,38249,28765,23944,5369,32967,43936,28525,16696,18474,13685,26777,32219,24857,39394,23158,25605,33821,22255,23978,12440,4667,21653,43098,43624,18506,20531,20311,23973,14521,15092,14857,33194,30570,38217,41433,17154,28246,8775,13584,16394,26827,16163,27984,28324,16847,11995,19554,30588,28603,26048,19420,4025,37721,18181,39312,34539,27681,23376,31025,41519,49018,35889,38593,21007,38479,23755,19383,19742,31220,41331,19485,26998,25979,24302,35954,14531,23630,39097,23991,44256,32998,43543,45471,28435,23033,51381,5861,16432,17464,13487,2269,44504,3906,10832,48594,34475,22347,25988,22201,27530,62285,34047,21872,29814,43329,27484,37192,9708,43938,21064,27392,9968,19560,9321,17608,38462,33962,32471,22409,19170,11453,26748,16465,16583,4044,28347,23560,19697,7534,33085,37729,33017,32609,31549,20361,36510,41869,30621,25833,16613,25943,21362,25269,23358,31950,28385,43402,40668,30330,26766,39587,23489,26230,45063,20836,20902,21139,10947,17776,35064,56580,42469,8023,39405,25930,5805,36882,36858,25732,41605,39520,21266,30467,2941,46296,50022,25069,31811,10326,24351,9610,15062,17128,10281,32976,19906,12833,30431,17401,15046,14378,32770,24574,14370,10023,27038,8289,3139,1497,14484,9708,19894,15401,7916,24999,31435,29167,15449,32215,22605,34249,16663,12450,9730,18777,13323,11684,6972,11209,13143,21034,8664,19629,23421,16253,28969,36998,39503,23739,32716,31808,6219,22466,33819,41460,37284,35633,25128,685,36525,38679,10929,32114,19573,6340,17527,16905,24877,26156,6799,18238,12270,4813,37764,19075,9432,4315,13137,7686,41627,32730,36193,38775,34687,20342,29347,37243,23010,23702
"2017","인구밀도 (명/㎢)",16728,6869,7900,2079,4725,2160,23264,29609,8624,3656,9483,11221,20274,39515,32722,29848,28971,5294,18240,13514,2934,7087,3504,4285,4153,7939,2977,-,-,-,-,25205,-,39682,24115,17353,30194,38333,44115,43646,11179,21914,6304,7214,21455,21805,45568,10126,7565,15423,12807,5098,23297,23333,25875,6227,7875,18551,44354,22824,11542,24385,60531,29291,28676,17205,8927,18442,15918,11705,17628,7193,38308,38648,14078,21819,21216,29703,26385,41469,29987,13628,10762,41779,18659,29885,15309,42895,16504,25431,22409,25748,16475,23157,24005,19219,20470,23534,25139,23763,34967,31674,28850,29973,32542,31069,22318,37064,19007,16386,26100,30541,27419,31146,29309,30224,29204,18946,16427,23251,36416,16578,11254,18533,34173,52644,13073,30821,42957,20936,4681,8761,47844,21284,34767,15311,30480,27637,18978,6292,29437,22759,29401,20016,13898,36204,14350,22458,21001,30838,28166,30609,32097,24830,34057,54571,2000,11307,16752,18005,38198,34964,39385,44536,30141,11282,31076,29680,22893,30103,37796,2682,35324,15748,20814,14075,28474,6143,19290,47829,13934,45759,12999,7419,35944,61473,37527,28215,21808,4936,32525,43071,28389,16534,18465,13532,26382,32195,24507,39249,22000,27836,33535,22210,20894,10721,4820,21890,42284,43494,18440,19964,19855,21236,14294,14760,14619,33855,30179,38037,41331,16757,38452,8863,13386,16174,26815,15785,26484,28009,16109,11771,19114,29876,27389,25761,19597,3978,37237,18014,40266,33659,27289,23190,31056,41909,48414,35272,38164,20286,37837,23284,17263,19456,31230,40887,18680,26818,25444,24171,36122,14679,23506,39883,24190,43297,33009,43432,44908,28221,22410,51126,6944,16246,16940,13316,2627,44898,3858,10679,48924,34421,21946,25756,21921,27078,59865,33369,21475,29614,42866,27490,36520,9682,40518,20394,26818,9892,19469,9236,18862,37783,33243,32197,22012,18858,11276,26670,15739,16377,4009,28348,23022,19539,7590,31052,37042,30606,27828,29440,27019,34373,39656,29654,25199,19091,25027,21263,24978,22789,32100,28111,43840,40476,30218,27138,39316,23361,26248,44237,20259,19960,20749,10487,17617,34847,55650,42221,7878,39759,25693,5817,36218,36255,25519,40983,39759,21089,29779,2963,46135,49196,24964,31348,10085,24291,9480,15163,13521,10389,35551,19852,12699,28665,18153,14626,14296,32545,24704,14104,9410,26931,8207,3145,1488,14203,9579,19349,15356,7831,23894,31977,29032,15546,32263,22433,34200,15835,12433,9700,18596,13280,11739,7063,11087,12991,20783,5848,19813,22073,15966,26404,33802,38012,23435,33516,32000,6171,23085,33314,40517,36495,35394,25001,675,36126,38586,12518,31805,19506,6247,17407,16965,24678,25706,11080,17909,12027,3734,37064,18773,15955,4096,12704,7581,41899,35687,36566,38757,34558,2171,29510,37680,23370,23236
